"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-66.54","45.87","FREDERICTON INTL A","8101505","2021-01-01 00:00","2021","01","01","00:00","-2.5","","-8.0","","66","","0.0","","29","","21","","16.1","","101.94","","","","-9","","NA"
"-66.54","45.87","FREDERICTON INTL A","8101505","2021-01-01 01:00","2021","01","01","01:00","-3.2","","-8.7","","66","","0.0","","28","","11","","16.1","","102.04","","","","-7","","NA"
"-66.54","45.87","FREDERICTON INTL A","8101505","2021-01-01 02:00","2021","01","01","02:00","-4.0","","-9.5","","66","","0.0","","29","","18","","16.1","","102.18","","","","-10","","NA"
"-66.54","45.87","FREDERICTON INTL A","8101505","2021-01-01 03:00","2021","01","01","03:00","-4.5","","-9.6","","68","","0.0","","28","","13","","16.1","","102.33","","","","-10","","NA"
"-66.54","45.87","FREDERICTON INTL A","8101505","2021-01-01 04:00","2021","01","01","04:00","-5.0","","-9.3","","72","","0.0","","30","","13","","16.1","","102.37","","","","-10","","NA"
"-66.54","45.87","FREDERICTON INTL A","8101505","2021-01-01 05:00","2021","01","01","05:00","-5.3","","-9.6","","72","","0.0","","30","","15","","16.1","","102.47","","","","-11","","NA"
"-66.54","45.87","FREDERICTON INTL A","8101505","2021-01-01 06:00","2021","01","01","06:00","-5.9","","-9.7","","75","","0.0","","30","","17","","16.1","","102.55","","","","-12","","NA"
"-66.54","45.87","FREDERICTON INTL A","8101505","2021-01-01 07:00","2021","01","01","07:00","-6.3","","-10.4","","73","","0.0","","30","","15","","16.1","","102.63","","","","-12","","NA"
"-66.54","45.87","FREDERICTON INTL A","8101505","2021-01-01 08:00","2021","01","01","08:00","-6.8","","-10.5","","75","","0.0","","30","","17","","16.1","","102.70","","","","-13","","NA"
"-66.54","45.87","FREDERICTON INTL A","8101505","2021-01-01 09:00","2021","01","01","09:00","-6.5","","-10.3","","75","","0.0","","29","","11","","16.1","","102.76","","","","-11","","NA"
"-66.54","45.87","FREDERICTON INTL A","8101505","2021-01-01 10:00","2021","01","01","10:00","-5.6","","-10.6","","68","","0.0","","30","","11","","16.1","","102.83","","","","-10","","NA"
"-66.54","45.87","FREDERICTON INTL A","8101505","2021-01-01 11:00","2021","01","01","11:00","-4.6","","-10.4","","64","","0.0","","29","","11","","16.1","","102.82","","","","-9","","NA"
"-66.54","45.87","FREDERICTON INTL A","8101505","2021-01-01 12:00","2021","01","01","12:00","-3.8","","-10.7","","59","","0.0","","30","","17","","16.1","","102.70","","","","-10","","NA"
"-66.54","45.87","FREDERICTON INTL A","8101505","2021-01-01 13:00","2021","01","01","13:00","-3.3","","-10.6","","57","","0.0","","27","","18","","16.1","","102.68","","","","-9","","NA"
"-66.54","45.87","FREDERICTON INTL A","8101505","2021-01-01 14:00","2021","01","01","14:00","-2.4","","-10.7","","53","","0.0","","30","","13","","16.1","","102.69","","","","-7","","NA"
"-66.54","45.87","FREDERICTON INTL A","8101505","2021-01-01 15:00","2021","01","01","15:00","-2.2","","-10.6","","53","","0.0","","27","","13","","16.1","","102.70","","","","-7","","NA"
"-66.54","45.87","FREDERICTON INTL A","8101505","2021-01-01 16:00","2021","01","01","16:00","-2.6","","-10.2","","56","","0.0","","32","","11","","16.1","","102.64","","","","-7","","NA"
"-66.54","45.87","FREDERICTON INTL A","8101505","2021-01-01 17:00","2021","01","01","17:00","-4.0","","-10.1","","63","","0.0","","30","","8","","16.1","","102.65","","","","-7","","NA"
"-66.54","45.87","FREDERICTON INTL A","8101505","2021-01-01 18:00","2021","01","01","18:00","-4.7","","-10.2","","66","","0.0","","27","","5","","16.1","","102.71","","","","-7","","NA"
"-66.54","45.87","FREDERICTON INTL A","8101505","2021-01-01 19:00","2021","01","01","19:00","-5.9","","-10.0","","73","","0.0","","26","","8","","16.1","","102.69","","","","-10","","NA"
"-66.54","45.87","FREDERICTON INTL A","8101505","2021-01-01 20:00","2021","01","01","20:00","-8.2","","-10.0","","87","","0.0","","24","","8","","16.1","","102.60","","","","-12","","NA"
"-66.54","45.87","FREDERICTON INTL A","8101505","2021-01-01 21:00","2021","01","01","21:00","-7.5","","-10.5","","79","","0.0","","23","","5","","16.1","","102.59","","","","-10","","NA"
"-66.54","45.87","FREDERICTON INTL A","8101505","2021-01-01 22:00","2021","01","01","22:00","-8.7","","-10.1","","90","","0.0","","22","","5","","16.1","","102.52","","","","-11","","NA"
"-66.54","45.87","FREDERICTON INTL A","8101505","2021-01-01 23:00","2021","01","01","23:00","-8.3","","-9.5","","91","","0.0","","20","","5","","16.1","","102.45","","","","-11","","NA"
"-66.54","45.87","FREDERICTON INTL A","8101505","2021-01-02 00:00","2021","01","02","00:00","-7.9","","-9.7","","87","","0.0","","20","","5","","16.1","","102.35","","","","-11","","NA"
"-66.54","45.87","FREDERICTON INTL A","8101505","2021-01-02 01:00","2021","01","02","01:00","-7.7","","-9.4","","88","","0.0","","20","","5","","16.1","","102.33","","","","-10","","NA"
"-66.54","45.87","FREDERICTON INTL A","8101505","2021-01-02 02:00","2021","01","02","02:00","-7.6","","-9.3","","88","","0.0","","","","0","","16.1","","102.19","","","","","","NA"
"-66.54","45.87","FREDERICTON INTL A","8101505","2021-01-02 03:00","2021","01","02","03:00","-7.4","","-8.8","","90","","0.0","","19","","5","","16.1","","102.16","","","","-10","","NA"
"-66.54","45.87","FREDERICTON INTL A","8101505","2021-01-02 04:00","2021","01","02","04:00","-7.1","","-8.5","","90","","0.0","","33","","4","","16.1","","102.11","","","","-9","","NA"
"-66.54","45.87","FREDERICTON INTL A","8101505","2021-01-02 05:00","2021","01","02","05:00","-6.8","","-8.4","","88","","0.0","","","M","4","","16.1","","102.02","","","","-9","","NA"
"-66.54","45.87","FREDERICTON INTL A","8101505","2021-01-02 06:00","2021","01","02","06:00","-6.4","","-8.5","","85","","0.0","","3","","8","","16.1","","101.91","","","","-10","","NA"
"-66.54","45.87","FREDERICTON INTL A","8101505","2021-01-02 07:00","2021","01","02","07:00","-6.2","","-8.6","","83","","0.0","","5","","9","","16.1","","101.81","","","","-10","","NA"
"-66.54","45.87","FREDERICTON INTL A","8101505","2021-01-02 08:00","2021","01","02","08:00","-5.6","","-7.6","","86","","0.0","","6","","13","","16.1","","101.64","","","","-11","","Snow"
"-66.54","45.87","FREDERICTON INTL A","8101505","2021-01-02 09:00","2021","01","02","09:00","-5.0","","-7.1","","85","","0.0","","7","","18","","4.0","","101.49","","","","-11","","Snow"
"-66.54","45.87","FREDERICTON INTL A","8101505","2021-01-02 10:00","2021","01","02","10:00","-5.1","","-7.0","","86","","0.0","","5","","15","","8.1","","101.27","","","","-11","","Snow"
"-66.54","45.87","FREDERICTON INTL A","8101505","2021-01-02 11:00","2021","01","02","11:00","-4.9","","-6.0","","92","","0.0","","3","","18","","1.6","","101.06","","","","-11","","Snow"
"-66.54","45.87","FREDERICTON INTL A","8101505","2021-01-02 12:00","2021","01","02","12:00","-4.9","","-5.7","","94","","0.0","","3","","17","","0.6","","100.94","","","","-11","","Moderate Snow"
"-66.54","45.87","FREDERICTON INTL A","8101505","2021-01-02 13:00","2021","01","02","13:00","-5.0","","-5.5","","96","","0.0","","3","","15","","0.2","","100.79","","","","-11","","Heavy Snow"
"-66.54","45.87","FREDERICTON INTL A","8101505","2021-01-02 14:00","2021","01","02","14:00","-4.8","","-5.5","","95","","0.0","","3","","22","","0.4","","100.59","","","","-12","","Heavy Snow"
"-66.54","45.87","FREDERICTON INTL A","8101505","2021-01-02 15:00","2021","01","02","15:00","-4.5","","-5.6","","92","","0.0","","3","","18","","2.0","","100.49","","","","-11","","Snow"
"-66.54","45.87","FREDERICTON INTL A","8101505","2021-01-02 16:00","2021","01","02","16:00","-4.7","","-5.8","","92","","0.0","","2","","21","","2.4","","100.42","","","","-11","","Snow"
"-66.54","45.87","FREDERICTON INTL A","8101505","2021-01-02 17:00","2021","01","02","17:00","-4.9","","-5.9","","93","","0.0","","36","","21","","1.2","","100.55","","","","-12","","Snow"
"-66.54","45.87","FREDERICTON INTL A","8101505","2021-01-02 18:00","2021","01","02","18:00","-5.4","","-6.5","","92","","0.0","","35","","26","","1.6","","100.64","","","","-13","","Snow"
"-66.54","45.87","FREDERICTON INTL A","8101505","2021-01-02 19:00","2021","01","02","19:00","-5.0","","-5.8","","94","","0.0","","35","","17","","1.6","","100.71","","","","-11","","Snow"
